repetition,benchmark,machine,test,result
1,stressng-cpu,issdm-0,"qsort",3.73385
1,stressng-cpu,issdm-0,"tsearch",7.163259
1,stressng-cpu,issdm-0,"vecmath",765.45826














1,stressng-cpu,issdm-20,"af-alg",19725.254239
1,stressng-cpu,issdm-20,"atomic",532711.631172
1,stressng-cpu,issdm-20,"bsearch",173.620115
1,stressng-cpu,issdm-20,"cpu",72.305011
1,stressng-cpu,issdm-20,"crypt",73.108885
1,stressng-cpu,issdm-20,"fp-error",512640.000472
1,stressng-cpu,issdm-20,"hsearch",1185.757317
1,stressng-cpu,issdm-20,"longjmp",48880.085192
1,stressng-cpu,issdm-20,"lsearch",4.26731
