repetition,benchmark,machine,test,result
1,redisbench,issdm-6,"GET","97861.72"

1,redisbench,issdm-6,"LPUSH","88656.41"

1,redisbench,issdm-6,"LPOP","89553.58"

1,redisbench,ms1103.utah.cloudlab.us,"SET","425441.38"

1,redisbench,ms1103.utah.cloudlab.us,"GET","450551.91"

1,redisbench,ms1103.utah.cloudlab.us,"LPUSH","453309.12"

1,redisbench,ms1103.utah.cloudlab.us,"LPOP","453926.44"

1,redisbench,ms1119.utah.cloudlab.us,"SET","434499.22"

1,redisbench,ms1119.utah.cloudlab.us,"GET","445930.88"

1,redisbench,ms1119.utah.cloudlab.us,"LPUSH","447627.59"

1,redisbench,ms1119.utah.cloudlab.us,"LPOP","465116.25"

1,redisbench,ms1128.utah.cloudlab.us,"SET","423280.44"

1,redisbench,ms1128.utah.cloudlab.us,"GET","450247.66"

1,redisbench,ms1128.utah.cloudlab.us,"LPUSH","473484.84"

1,redisbench,ms1128.utah.cloudlab.us,"LPOP","465224.50"

1,redisbench,ms1139.utah.cloudlab.us,"SET","441403.66"

1,redisbench,ms1139.utah.cloudlab.us,"GET","452488.69"

1,redisbench,ms1139.utah.cloudlab.us,"LPUSH","478354.44"

1,redisbench,ms1139.utah.cloudlab.us,"LPOP","467836.25"

1,redisbench,pc19.utahddc.geniracks.net,"SET","238208.67"

1,redisbench,pc19.utahddc.geniracks.net,"GET","244917.94"

1,redisbench,pc19.utahddc.geniracks.net,"LPUSH","228024.17"

1,redisbench,pc19.utahddc.geniracks.net,"LPOP","267630.12"

1,redisbench,pc22.utahddc.geniracks.net,"SET","237897.00"

1,redisbench,pc22.utahddc.geniracks.net,"GET","270270.28"

1,redisbench,pc22.utahddc.geniracks.net,"LPUSH","296647.88"

1,redisbench,pc22.utahddc.geniracks.net,"LPOP","349467.06"

1,redisbench,pc25.utahddc.geniracks.net,"SET","222098.83"

1,redisbench,pc25.utahddc.geniracks.net,"GET","233154.58"

1,redisbench,pc25.utahddc.geniracks.net,"LPUSH","226886.00"

1,redisbench,pc25.utahddc.geniracks.net,"LPOP","251889.17"

1,redisbench,pc31.utahddc.geniracks.net,"SET","247035.58"

1,redisbench,pc31.utahddc.geniracks.net,"GET","313528.75"

1,redisbench,pc31.utahddc.geniracks.net,"LPUSH","271886.91"

1,redisbench,pc31.utahddc.geniracks.net,"LPOP","303720.56"

1,redisbench,pc765.emulab.net,"SET","329543.59"

1,redisbench,pc765.emulab.net,"GET","397061.72"

1,redisbench,pc765.emulab.net,"LPUSH","419815.28"

1,redisbench,pc765.emulab.net,"LPOP","419727.19"

1,redisbench,pc767.emulab.net,"SET","318572.81"

1,redisbench,pc767.emulab.net,"GET","331455.09"

1,redisbench,pc767.emulab.net,"LPUSH","359841.66"

1,redisbench,pc767.emulab.net,"LPOP","404203.72"

1,redisbench,pc769.emulab.net,"SET","329435.00"

1,redisbench,pc769.emulab.net,"GET","350877.22"

1,redisbench,pc769.emulab.net,"LPUSH","411607.31"

1,redisbench,pc769.emulab.net,"LPOP","419551.06"

1,redisbench,pc773.emulab.net,"SET","314465.41"

1,redisbench,pc773.emulab.net,"GET","345244.25"

1,redisbench,pc773.emulab.net,"LPUSH","420344.69"

1,redisbench,pc773.emulab.net,"LPOP","417972.84"

1,redisbench,pl2,"SET","288766.97"

1,redisbench,pl2,"GET","293341.16"

1,redisbench,pl2,"LPUSH","323519.88"

1,redisbench,pl2,"LPOP","321646.84"

1,redisbench,rackform2,"SET","230574.14"

1,redisbench,rackform2,"GET","229200.09"

1,redisbench,rackform2,"LPUSH","239406.27"

1,redisbench,rackform2,"LPOP","239291.70"

1,redisbench,scruffy.soe.ucsc.edu,"SET","273785.09"

1,redisbench,scruffy.soe.ucsc.edu,"GET","285836.78"

1,redisbench,scruffy.soe.ucsc.edu,"LPUSH","311138.78"

1,redisbench,scruffy.soe.ucsc.edu,"LPOP","290782.22"

2,redisbench,apt129.apt.emulab.net,"SET","372508.84"

2,redisbench,apt129.apt.emulab.net,"GET","377429.72"

2,redisbench,apt129.apt.emulab.net,"LPUSH","390625.00"

2,redisbench,apt129.apt.emulab.net,"LPOP","394710.88"

2,redisbench,apt131.apt.emulab.net,"SET","324464.62"

2,redisbench,apt131.apt.emulab.net,"GET","379075.06"

2,redisbench,apt131.apt.emulab.net,"LPUSH","392541.72"

2,redisbench,apt131.apt.emulab.net,"LPOP","395256.91"

2,redisbench,apt132.apt.emulab.net,"SET","374882.84"

2,redisbench,apt132.apt.emulab.net,"GET","367511.94"

2,redisbench,apt132.apt.emulab.net,"LPUSH","392464.66"

2,redisbench,apt132.apt.emulab.net,"LPOP","392464.66"

2,redisbench,apt134.apt.emulab.net,"SET","356633.41"

2,redisbench,apt134.apt.emulab.net,"GET","359324.47"

2,redisbench,apt134.apt.emulab.net,"LPUSH","386473.41"

2,redisbench,apt134.apt.emulab.net,"LPOP","375304.94"

2,redisbench,dwill.soe.ucsc.edu,"SET","447727.78"

2,redisbench,dwill.soe.ucsc.edu,"GET","450045.03"

2,redisbench,dwill.soe.ucsc.edu,"LPUSH","468823.28"

2,redisbench,dwill.soe.ucsc.edu,"LPOP","469153.19"

2,redisbench,issdm-0,"SET","77516.38"

2,redisbench,issdm-0,"GET","84030.08"

2,redisbench,issdm-0,"LPUSH","75611.51"

2,redisbench,issdm-0,"LPOP","76537.45"

2,redisbench,issdm-34,"SET","88798.12"

2,redisbench,issdm-34,"GET","93984.96"

2,redisbench,issdm-34,"LPUSH","84652.50"

2,redisbench,issdm-34,"LPOP","85962.34"

2,redisbench,issdm-6,"SET","91053.95"

2,redisbench,issdm-6,"GET","96744.55"

2,redisbench,issdm-6,"LPUSH","88476.00"

2,redisbench,issdm-6,"LPOP","89441.44"

2,redisbench,ms1103.utah.cloudlab.us,"SET","302846.75"

2,redisbench,ms1103.utah.cloudlab.us,"GET","316455.69"

2,redisbench,ms1103.utah.cloudlab.us,"LPUSH","317863.97"

2,redisbench,ms1103.utah.cloudlab.us,"LPOP","320204.94"

2,redisbench,ms1119.utah.cloudlab.us,"SET","450146.31"

2,redisbench,ms1119.utah.cloudlab.us,"GET","449034.56"

2,redisbench,ms1119.utah.cloudlab.us,"LPUSH","474158.38"

2,redisbench,ms1119.utah.cloudlab.us,"LPOP","463929.50"

2,redisbench,ms1128.utah.cloudlab.us,"SET","455373.38"

2,redisbench,ms1128.utah.cloudlab.us,"GET","453001.12"

2,redisbench,ms1128.utah.cloudlab.us,"LPUSH","472143.53"

2,redisbench,ms1128.utah.cloudlab.us,"LPOP","465008.12"

2,redisbench,ms1139.utah.cloudlab.us,"SET","460723.31"

2,redisbench,ms1139.utah.cloudlab.us,"GET","454132.62"

2,redisbench,ms1139.utah.cloudlab.us,"LPUSH","479846.44"

2,redisbench,ms1139.utah.cloudlab.us,"LPOP","471475.72"

